,Date,Church_and_World_Culture_and_Nation,Church_and_World_Epilogue
79,2023-07-23,"Lord we pray for our nation and its leaders. We pray that you would grant repentance to all who seek to promote ungodly agendas in our society, and if they would not repent that your would overturn and defeat their goals. Specifically we pray against this current legislation called HR 15, the so called equality act, that seeks to impose evil agendas upon us and take away our freedom to worship you. Lord may your Spirit move in a mighty way in the hearts of our legislators, and may this not come to pass. LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","All these things and whatever else You see that we need, grant us, O God, for the sake of Christ, who died and rose again, and now lives and reigns with You and the Holy Spirit, One God, age after age. Amen. Christians, in Whom do you trust? Nicene Creed"
80,2023-07-30,"Gracious Father, we thank You for the good and beautiful order You have established in our world, and the place our lives and our congregation fit into that order.  We thank You for the orders of authority within which You have placed us and from which we receive so many often unacknowledged blessings.  Especially today, we give You thanks for our Communion of Reformed and Evangelical Churches, and for those who serve and lead us.  We pray for the Churches of our Athanasius Presbytery, those that are struggling and those that are growing, You, Who know our needs before we do - be gracious and Help each one.  Bless and empower our Presiding Ministers Brito and Thacker  together with their congregations and fellow ministers. By Your Powerful Spirit, bless our Florida churches in Pensacola, Pace, Live Oak, Tallahassee, and Winter Springs. And Communion-wide; for our Presiding Ministers, Virgil Hurt, and Stuart Bryan, bless and empower them with might, wisdom, and grace of Your Spirit.  Impart to them and us -  peace and unity, the bond of Your Spirit, that we as a Communion of Reformed and Evangelical churches may please, honor and glorify You. LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","And now, our Heavenly Father, As we approach Your Word and the table You have set before us, grant us grace and right hearts to love and trust in Christ Jesus, For we ask all in His strong and holy name. Amen. Nicene Creed"
81,2023-08-06,"O God, we remember Your Word which assures us of Your special care and attention to the widows and so we thank You for those widows and single mothers in our congregation and ask You to both bless, comfort, provide for the many practical daily needs and protect each one under the shield of Your care, and make us more faithful servants and protectors of them after Your own example. We especially lift up to You: Wanda Sadler, Gilda Winn, Heidi Mallory, Shirley Filar, Cori Sprenger and Hildegaard Inman Anne Redwine Lisa Simmons. We ask that You would make us faithful ministers and servants of these and more aware of the needs we might serve for where You have placed us in our neighborhoods and this community. Oh Lord, Hear our Prayers! [for You are gracious]. Prayer for the Church and the World Epilogue","And now, our Heavenly Father, as we approach Your Table, Give us good hearts to receive Christ by faith and bear much fruit. For we pray in His strong and holy name.  Amen. Nicene Creed"
82,2023-08-13,"Heavenly Father, We ask You to guide the nations of the world into the way of justice and truth, and establish among them peace which is the fruit of righteousness making them the kingdom of our Lord and of His Christ. We pray also for our own country. Thank You for those You've set over us in authority as government, on the federal, state and local levels and Your ministers in the world over us. We thank You for Your blessing upon our military and ask that the strength of our military would only every be used in ways that conform to Your Will and righteous standard. We entrust to Your care and protection our servicemen and women: Josh Stevenson; Trent Hamilton; Corban Pierce; Bobby Dixon; Austin & Bekah Denigan; Kent Winn, Pablo DeJesus, Shawn Lowe, Matt Adelstein, Chris Stanton, Lexi Turner, Braden Fitzsimmons, and Nathan Trexler. OH LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","All these things, and whatever else You see that we need, grant us, O Father, for the sake of Jesus Christ Your Son, who died and rose again and now lives and reigns with You and the Holy Spirit, one God, age after age.  Amen. Nicene Creed"
83,2023-08-20,"For You are gracious.We pray for the families of our congregation, that they may be strong and godly families and an example to the community. We pray particularly today for our singles and young adults and for our college students in various places whether here or living on their own. We ask that You would grant them the grace of Your Spirit to fight the good fight of faith and fidelity. To stand fast against temptation and pressures from without and within, not to tempt or presume upon You. To establish and maintain the testimony of Christian integrity, purity, chastity, diligence, joy, faith, hope, and charity. Grant them Your Spirit to comfort, convict, empower, and guide so that each would walk with You and so, day by day, and bear witness by their words and lives to the profound truth of the gospel of Christ Jesus their Lord. LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","And now, our Heavenly Father, as we approach Your Word and Table, Give us ears to hear Your Word and hearts to receive Christ Jesus, Who Himself delights to receive unworthy sinners such as ourselves. For we pray in His strong and holy name.  Amen Nicene Creed"
84,2023-08-27,"Gracious Father, You are the Lord of life.  You have made all of Creation and then mankind in Your holy image, to live in loving communion with You and one another, giving You glory, honor and praise, and in faithful stewardship and dominion over Creation.  But we have sinned against You and fallen short of these things.  We have turned from You and misused Your good gifts in Creation.  So we lift up to You all those in our nation and community ensnared by drunkenness and substance abuse and addiction, together with their loved ones. Grant that in their desperation, they would seek and find You, and so find light, hope, power, freedom, and life through faith in Your Son and the gift of Your Holy Spirit.  Grant wisdom, strength, and faithfulness to Your Church here as we encounter and minister to these ones and their families, empower also our community leaders, law makers and enforcers, judges, and counselors.   Bless and guide Your people that we might build and maintain a holy culture among ourselves and life together in which gluttonies, addictions, and abuses have no fit or place.  Guard and defend us from all such temptations and truly deliver us from evil. LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","And now, our Heavenly Father, As we approach Your Word and the table You have set before us, grant us grace and soft hearts to love and trust in Christ Jesus, For we ask all in His strong and holy name. Amen Nicene Creed"
85,2023-09-03,"We lift up to You President Biden, his advisors, as well as our law makers and judges.  Give them Your wisdom, a clear sense of good and righteous judgment, and the conviction to govern rightly.  Help us to learn to honor them as the authority You have placed over us, while also fearing and obeying You as our ultimate Authority. Bless our armed forces, we pray, that they may be used only in ways that conform to Your holy will. We entrust to Your care and protection our servicemen and women: Josh Stevenson; Trent Hamilton; Corban Pierce; Bobby Dixon; Austin & Bekah Denigan; Kent Winn, Pablo DeJesus, Shawn Lowe, Matt Adelstein, Chris Stanton, Lexi Turner, Braden Fitzsimmons, Nathaneal Trexler, and Zander Patterson. LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","Father, You are the God before whom all generations rise and pass away; You are the strength of those who labor and the repose of the blessed dead. We rejoice in the communion of the saints and rejoice to be partakers in that fellowship. Help us as we do so today and hear us in each of our petitions, for Jesus' sake.  Amen.- Nicene Creed"
86,2023-09-10,"Father, we lift up to You our own nation in this generation.  Look upon us in mercy and deliver us from our own sin and rebellion and especially the sins and temptations that ensnare nations.  Deliver us from the lies of our flesh, or our enemy Satan, or the version of these that are standardized culturally in the unbelieving world around us. Turn us to the fear of God and the love of His righteous law.   According to Your word, we thank You for the blessings and protections of government authority In particular, bless and help our state authorities, Gov DeSantis, Surgeon General Lapado, our County Cmmrs Mixon, Ketchel, Goodwin, Ponder, and Boyles and DOH Dr Smith together w/ our City Cmmrs, Administrators, Sheriff Aden and his deputies, and our local law enforcement officers, and emergency responders. OH LORD, HEAR OUR PRAYERS. For You are gracious. Prayer for the Church and the World Epilogue","And now, our Heavenly Father, as we approach Your Table, Straighten us and Strengthen us there. Thank you O Lord that all Your promises are  Yea and Amen in Jesus our Savior, to whom, with You and the Holy Ghost, be all honor, and glory, in all ages without end. Amen. Nicene Creed"
87,2023-09-17,"Gracious Father, We thank You for the authorities You have placed over us in the executive, legislative and judicial branches; especially praying today for our Federal Judges  Justices Roberts, Thomas, Alito, Sotomayor, Kagan, Gorsuch, Kavanaugh, Barrett, and Jackson As well as our FL state justices Muniz, Canady, Labarga, Couriel, Grosshans, Francis and Sasso - Bless each one with Your true wisdom and strength in all their judgments that they would know with clarity how to administer justice, to rule honestly and weigh the grave matters before them accurately despite immense pressure from many directions. Help them to fulfill their duties and vows, to fear You rightly, and rightly balancing the heritage of the past with the needs of the present. OH LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","Now Father, as we approach Your Table, We rejoice with thanksgiving in remembrance of all those who have loved and served You in Your Church on earth, and who now rest with You from their labors. Keep us ever in fellowship with You and all Your people, and bring us to the joy of Your everlasting kingdom. All these things, and whatever You see that we need, grant us, O Father, for the sake of Jesus Christ Your Son, Who together with You and the Holy Ghost, are one God, blessed and worshipped forever, age after age.  Amen. Nicene Creed"
88,2023-09-24,"Gracious Father, we thank You for the good and beautiful order You have established in our world, and the place our lives and our congregation fit into that order.  We thank You for the orders of authority within which You have placed us and from which we receive so many often unacknowledged blessings.  Especially today, we give You thanks for our Communion of Reformed and Evangelical Churches, and for those who serve and lead us.  We pray for the Churches of our Athanasius Presbytery, those that are struggling and those that are growing, You, Who know our needs before we do - be gracious and Help each one.  Bless and empower our Presiding Ministers Brito and Thacker  together with their congregations and fellow ministers. And Communion-wide; for our Presiding Ministers, Virgil Hurt, and Stuart Bryan, bless and empower them with might, wisdom, and grace of Your Spirit. As we convene this week in Council save us from all error, ignorance, pride, and prejudice in Your great mercy direct, sanctify, and govern us in our work, So that the comfort of the gospel of Christ may be faithfully preached in all places to break down the kingdom of sin, Satan, and death; till finally all Your sheep are gathered into Your fold, and made partakers of everlasting life. LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","And now, our Heavenly Father, As we approach Your table Fulfill the desire of those who fear You; Hear our prayers and cries; conquer the wicked, but preserve and save those who love You. For we pray by Your Spirit and in Jesus' name.  Amen. Nicene Creed"
89,2023-10-01,"Father, to these we add every unborn child in our land. Heavenly Father, we pray to you for them with confidence and firm trust knowing that it is your Holy Will to remove the scourge of abortion on demand from off the face of Your earth. Thank you for the many ways in which we have seen it diminished in recent years. Continue these victories by Your mercy. Change the minds and melt the hearts of all who promote this evil, or who seek abortion as a remedy for the troubles of their lives, which troubles are for many very great. Make us in our lives a testimony of sexual purity, cherishers of human life, lovers and helpers of our neighbors, guardians and adopters of the fatherless and unwanted, honorers of Your holy image wherever it is found in mankind, and willing sacrificers of ourselves, our comforts and possessions in service to Your Kingdom and Your righteousness. LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","Now our Father as we come to Your table, once again, give us Your grace.  Hear and answer all our prayers according to Your wisdom, mercy, and goodness, for we pray in the name of Him in Whom justice and mercy have met, Jesus Christ our Lord.   Amen. Nicene Creed"
90,2023-10-08,"Father we lift up to You the ongoing work of our Building Committee, Greg Parry, Josh Nicodemus, Nate Pierpoint, Micah Mallory for all who have helped and are helping with finishes and further work for our Deacons, Mark Norris Hanto Clark and our architectural team for Archie, our sight supervisor, as well as every one of the laborers and tradesmen who worked on our new building next door. Bless each one for his part in it. We thank you for the safety You granted us through this lengthy process and for all Your blessings we've known.  Take this place and use it for Your will, Your good pleasure for Your glory and the good of our neighbors in this community. OH LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","And now, our Heavenly Father, As we approach Your Word and the table You have set before us, Give us the help of Your Spirit to do so with living and obedient faith.  Bless us mightily by them, for we ask in the name of Jesus our Lord.   Amen. Nicene Creed"
91,2023-10-15,"Father our hearts are shocked and grieved by the bloodshed in Israel and Palestine.  Protect and preserve the Christian communities in these places.  Grant peace and protection to the innocent.  Bring salvation to the Jews and Arabs in these lands, true peace and unity through Your Son, Christ Jesus. LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","Now our Father as we come to this Your table, we thank You that You have not withheld these from us indeed You've not withheld even Your Own and only begotten Son but delivered Him up as a sacrifice whose holy body was broken to feed us and give life to the world.  Give us Your blessings now, for we ask all these things in the strong and holy name of Your Son, Jesus Christ our Lord.  Amen. Nicene Creed"
92,2023-10-22,"O God, we remember Your Word which assures us of Your special care and attention to the widows and so we thank You for those widows and single mothers in our congregation and ask You to both bless, comfort, provide for the many practical daily needs and protect each one under the shield of Your care, and make us more faithful servants and protectors of them after Your own example. We especially lift up to You: Wanda Sadler, Gilda Winn, Heidi Mallory, Shirley Filar, Hildegaard Inman Anne Redwine Lisa Simmons. We ask that You would make us faithful ministers and servants of these and more aware of the needs we might serve for where You have placed us in our neighborhoods and this community. OH LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","All these things and whatever else You know that we need, grant us, Gracious Father for the sake of our Lord and Savior, Jesus Christ.  Amen. Nicene Creed"
93,2023-10-29,"Gracious Father, we ask Your blessing over the Gospel as it goes forward, especially in the efforts of Churchplants and ongoing local ministry.  To that end, bless the churches of our community and especially of our regional Athanasius Presbytery.  Bless especially our sister congregations in Pace, Pensacola, Tallahasee, Live Oak, the plants in Jacksonville and Winter Springs bless Your people and Church officers. So that Your Word would dwell in each one richly and fruitfully! OH LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","Now our Father as we come to Your table, we thank You for these palpable expressions of Your grace Your gifts to Your children.  Help us now in and by them, for we ask it and give You thanks in the strong and holy name of Your Son, Jesus Christ our Lord.  Amen. Nicene Creed"
94,2023-11-05,"Gracious Father, We thank You for the authorities You have placed over us in the executive, legislative and judicial branches; especially praying today for our Federal Judges  Justices Roberts, Thomas, Alito, Sotomayor, Kagan, Gorsuch, Kavanaugh, Barrett, and Jackson As well as our FL state justices Muniz, Canady, Labarga, Couriel, Grosshans, Francis and Sasso - Bless each one with Your true wisdom and strength in all their judgments that they would know with clarity how to administer justice, to rule honestly and weigh the grave matters before them accurately despite immense pressure from many directions. Help them to fulfill their duties and vows, to fear You rightly, and rightly balancing the heritage of the past with the needs of the present, especially honoring You and Your image on earth, by protecting innocent human life as it is found in the unborn, infirm, and aged. OH LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","And now, our Heavenly Father, As we approach the table You have set before us,  Give us the help of Your Spirit to do so with living and obedient faith.  Bless us mightily by them, for we ask in the name of Jesus our Lord.   Amen. Nicene Creed"
95,2023-11-12,"Gracious Father, to the end that Your Name may magnified on the earth and Your Kingdom Come here, and Your will be done here  bless Your holy, Apostolic, worldwide Church; fill Her with all truth, in all peace. Where She is corrupt, purify Her; where She is in error, correct Her; where in anything She is amiss, reform Her. Where She is right, establish Her; where She is in need, provide for Her; where She is divided, reunite Her; where She is in danger, protect and deliver Her; send down to Her Your Wisdom from above liberally and without reproach; That we, the Bride of Your Beloved Son, the one Seed of Abraham, may be faithful. LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","All these things and whatever else You see that we need, grant us, O God, for the sake of Christ, who died and rose again, and now lives and reigns with You and the Holy Spirit, One God, age after age. Amen. Nicene Creed"
96,2023-11-19,"Father, we lift up to You our own nation in this generation.  Look upon us in mercy and deliver us from our own sin and rebellion and especially the sins and temptations that ensnare nations.  Deliver us from the lies of our flesh, or our enemy Satan, or the version of these that are standardized culturally in the unbelieving world around us. Turn us to the fear of God and the love of His righteous law.   According to Your word, we thank You for the blessings and protections of government authority we pray for our national judges, law makers, and the executors of the laws for President Biden, his cabinet and advisors, and for the heads of our military and other institutions -   Mercifully grant them Your wisdom and counsel that as they discharge their duties to lead us as Your appointed minsters over us. In particular, bless and help our state authorities, Gov DeSantis, Surgeon General Lapado, our County Cmmrs Mixon, Ketchel, Goodwin, Ponder, and Boyles and DOH Dr Smith together w/ our City Cmmrs, Administrators, Sheriff Aden and his deputies, and our local law enforcement officers, and emergency responders. LORD, HEAR OUR PRAYERS.  For You are gracious. Prayer for the Church and the World Epilogue","And now, our Heavenly Father, as we approach Your Table, The voice of our beloved Lord, Who was meek and lowly and now is highly exalted calls us to Himself.  So help us by Your Spirit to come to Him once more, for we pray in His strong and holy name.  Amen. Nicene Creed"
